Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,05-Feb-2016,2420.05,2408.10,2439.95,2408.10,2424.00,2421.95,2425.99,701498,17018.26,80411,454027,64.72
TCS,EQ,08-Feb-2016,2421.95,2400.00,2412.05,2347.00,2354.30,2362.95,2385.01,531829,12684.17,29355,333965,62.80
TCS,EQ,09-Feb-2016,2362.95,2333.60,2333.60,2255.60,2280.70,2281.40,2276.64,1244805,28339.78,74469,719530,57.80
TCS,EQ,10-Feb-2016,2281.40,2275.00,2289.90,2258.10,2283.00,2268.80,2271.48,945366,21473.78,65549,604389,63.93
TCS,EQ,11-Feb-2016,2268.80,2280.00,2289.00,2171.65,2179.35,2197.95,2231.27,981204,21893.32,73416,582430,59.36
TCS,EQ,12-Feb-2016,2197.95,2200.00,2243.40,2164.00,2226.30,2226.60,2214.47,1086284,24055.41,85740,632825,58.26
TCS,EQ,15-Feb-2016,2226.60,2250.00,2306.85,2240.00,2262.00,2269.15,2278.07,1239856,28244.80,62877,886727,71.52
TCS,EQ,16-Feb-2016,2269.15,2266.00,2282.00,2243.00,2262.50,2265.55,2260.28,794351,17954.56,40886,499672,62.90
TCS,EQ,17-Feb-2016,2265.55,2265.00,2279.65,2246.40,2279.65,2275.55,2265.30,792589,17954.55,36080,567844,71.64
TCS,EQ,18-Feb-2016,2275.55,2285.00,2319.75,2278.00,2312.10,2315.85,2301.08,764570,17593.39,31762,569449,74.48
TCS,EQ,19-Feb-2016,2315.85,2307.35,2327.00,2305.45,2314.90,2319.65,2317.45,439506,10185.34,60217,303871,69.14
TCS,EQ,22-Feb-2016,2319.65,2320.25,2343.00,2305.00,2325.00,2315.90,2330.06,662442,15435.33,49580,413311,62.39
TCS,EQ,23-Feb-2016,2315.90,2310.25,2319.90,2256.75,2258.10,2264.00,2277.26,653426,14880.24,42218,445387,68.16
TCS,EQ,24-Feb-2016,2264.00,2262.45,2262.45,2201.20,2216.00,2210.95,2230.36,829664,18504.52,38290,574352,69.23
TCS,EQ,25-Feb-2016,2210.95,2219.80,2228.00,2185.65,2224.20,2212.85,2204.85,915278,20180.49,45678,673667,73.60
TCS,EQ,26-Feb-2016,2212.85,2229.70,2256.90,2199.60,2219.90,2210.50,2218.03,768768,17051.54,37353,521706,67.86
TCS,EQ,29-Feb-2016,2210.50,2237.00,2237.00,2115.00,2172.00,2176.80,2184.95,1095859,23943.99,47672,679639,62.02
TCS,EQ,01-Mar-2016,2176.80,2193.00,2285.10,2162.00,2281.00,2276.65,2257.79,999880,22575.17,50318,643213,64.33
TCS,EQ,02-Mar-2016,2276.65,2305.00,2330.00,2256.25,2320.10,2318.85,2288.84,763743,17480.82,42118,438079,57.36
TCS,EQ,03-Mar-2016,2318.85,2336.00,2391.00,2301.00,2369.40,2373.15,2356.33,1324142,31201.10,61441,797518,60.23
